"FOLIO","VIV_SEL","HOGAR","EST_DIS","UPM_DIS","P2_8","FAC_HOG","TLOC","REGION","P0_1","P0_2","P0_3","P0_4_1","P0_4_2","P1_1","P1_2"
3295,2,1,53,526,1,2954,1,4,1,3,1,1,1,2,1
3296,3,1,53,526,2,2954,1,4,1,1,0,2,2,3,1
3297,4,1,53,526,2,2954,1,4,3,3,1,1,1,5,1
3298,5,1,53,526,2,2954,1,4,2,4,1,1,1,3,1
3299,1,1,53,527,1,3068,1,4,1,1,0,2,2,2,1
3300,2,1,53,527,1,3068,1,4,2,2,0,2,2,4,1
3301,4,1,53,527,1,3068,1,4,2,4,1,2,1,2,1
3302,5,1,53,527,0,3068,1,4,1,3,1,2,1,1,1
3303,1,1,55,528,2,3816,1,4,3,4,2,2,1,3,1
3304,2,1,55,528,2,3816,1,4,3,8,2,2,1,6,1
3305,3,1,55,528,2,3816,1,4,2,3,1,1,1,3,1
3306,4,1,55,528,2,3816,1,4,1,2,2,1,1,2,1
3307,5,1,55,528,0,3816,1,4,1,6,1,2,2,1,1
3308,1,1,55,529,1,3718,1,4,1,1,1,1,2,1,1
3309,2,1,55,529,2,3718,1,4,3,5,1,1,1,2,1
3310,4,1,55,529,0,3718,1,4,3,5,1,1,1,2,1
3311,1,1,53,530,1,2715,1,4,1,2,1,2,1,4,1
3312,2,1,53,530,2,2715,1,4,3,4,1,1,1,4,1
3313,3,1,53,530,4,2715,1,4,3,5,1,1,1,4,1
3314,4,1,53,530,0,2715,1,4,1,4,1,2,1,1,1
3315,5,1,53,530,1,2715,1,4,2,4,1,2,1,4,1
3316,1,1,53,531,1,3304,1,4,2,4,1,1,1,5,1
3317,2,1,53,531,1,3304,1,4,1,1,1,2,1,1,1
3318,4,1,53,531,3,3304,1,4,1,7,2,1,1,3,1
3319,5,1,53,531,1,3304,1,4,3,5,1,1,1,4,1
3320,1,1,53,532,2,2683,1,4,2,3,1,1,1,5,1
3321,2,1,53,532,2,2683,1,4,1,2,1,2,2,2,1
3322,3,1,53,532,2,2683,1,4,4,6,1,2,1,5,1
3323,4,1,53,532,2,2683,1,4,2,4,1,2,1,3,1
3324,5,1,53,532,2,2683,1,4,2,4,1,2,1,4,1
3325,1,1,55,533,1,2665,1,4,2,6,3,1,1,2,1
3326,2,1,55,533,2,2665,1,4,1,1,1,1,1,2,1
3327,4,1,55,533,0,2665,1,4,1,5,3,1,1,1,1
3328,1,1,54,534,1,3401,1,4,2,4,1,2,1,4,1
3329,2,1,54,534,4,3401,1,4,4,6,3,2,1,6,1
3330,3,1,54,534,0,3401,1,4,2,4,1,2,2,1,1
3331,4,1,54,534,1,3401,1,4,2,4,1,2,1,2,1
3332,1,1,54,535,3,3370,1,4,2,4,1,1,1,5,1
3333,2,1,54,535,0,3370,1,4,1,5,1,2,1,1,1
3334,3,1,54,535,3,3370,1,4,2,4,2,1,1,5,1
3335,4,1,54,535,1,3370,1,4,3,6,1,2,1,1,1
3336,5,1,54,535,1,3370,1,4,2,4,1,2,1,4,1
3337,1,1,54,536,2,3313,1,4,2,4,1,2,2,2,1
3338,2,1,54,536,0,3313,1,4,2,4,1,2,2,2,1
3339,3,1,54,536,2,3313,1,4,2,4,1,2,2,4,1
3340,4,1,54,536,4,3313,1,4,2,4,1,1,1,4,1
3341,5,1,54,536,2,3313,1,4,3,5,1,2,1,3,1
3342,1,1,55,537,1,3584,1,4,3,5,3,1,1,4,1
3343,3,1,55,537,2,3584,1,4,2,4,1,1,1,4,1
3344,5,1,55,537,3,3584,1,4,3,5,3,1,1,3,1
3345,1,1,55,538,2,3336,1,4,2,4,1,2,1,2,1
3346,2,1,55,538,0,3336,1,4,2,3,1,1,2,2,1
3347,3,1,55,538,1,3336,1,4,2,7,2,1,1,3,1
3348,5,1,55,538,2,3336,1,4,3,9,3,1,1,3,1
3349,1,1,53,539,1,3211,1,4,2,4,1,2,2,2,1
3350,2,1,53,539,1,3211,1,4,1,3,1,2,1,2,1
3351,3,1,53,539,2,3211,1,4,2,3,1,2,2,3,1
3352,4,1,53,539,0,3211,1,4,1,2,1,2,2,1,1
3353,5,1,53,539,1,3211,1,4,1,2,1,2,2,1,1
3354,1,1,54,540,1,2997,1,4,2,3,2,1,1,1,1
3355,2,1,54,540,1,2997,1,4,2,3,1,1,1,4,1
3356,3,1,54,540,1,2997,1,4,1,3,0,2,2,2,1
3357,4,1,54,540,2,2997,1,4,3,3,1,2,1,4,1
3358,5,1,54,540,0,2997,1,4,1,2,1,2,1,1,1
3359,2,1,55,541,5,2875,1,4,3,5,2,1,1,5,1
3360,3,1,55,541,4,2875,1,4,2,8,5,1,1,4,1
3361,5,1,55,541,2,2875,1,4,3,8,4,1,1,4,1
3362,1,1,54,542,4,3212,1,4,3,7,1,1,1,6,1
3363,3,1,54,542,2,3212,1,4,3,5,1,2,1,5,1
3364,4,1,54,542,1,3212,1,4,2,4,1,2,1,1,1
3365,5,1,54,542,1,3212,1,4,1,3,1,2,1,1,1
3366,1,2,54,543,2,3022,1,4,3,6,2,1,1,7,2
3366,1,1,54,543,3,3022,1,4,3,6,2,1,1,7,2
3367,2,1,54,543,3,3022,1,4,4,8,2,1,1,6,1
3368,3,1,54,543,2,3022,1,4,2,3,1,1,1,3,1
3369,4,1,54,543,2,3022,1,4,2,5,1,2,1,4,1
3370,5,1,54,543,2,3022,1,4,1,1,1,2,1,2,1
3371,5,1,55,544,3,2881,1,4,8,9,3,1,1,8,1
3372,1,1,54,545,2,3099,1,4,4,5,1,1,1,4,1
3373,2,1,54,545,1,3099,1,4,2,2,1,2,2,2,1
3374,4,1,54,545,2,3099,1,4,2,3,1,2,1,5,1
3375,5,1,54,545,2,3099,1,4,2,2,1,1,1,2,1
3376,1,1,53,546,1,2930,1,4,3,5,1,2,1,4,1
3377,2,1,53,546,5,2930,1,4,3,5,1,1,1,6,1
3378,3,1,53,546,1,2930,1,4,1,4,2,2,1,1,1
3379,4,1,53,546,3,2930,1,4,1,2,1,1,2,4,1
3380,5,1,53,546,2,2930,1,4,2,4,1,1,2,4,1
3381,1,1,54,547,4,2728,1,4,3,12,1,1,1,6,1
3382,2,1,54,547,5,2728,1,4,4,8,1,1,1,6,1
3383,3,1,54,547,1,2728,1,4,1,2,1,2,1,3,1
3384,4,1,54,547,1,2728,1,4,2,3,1,2,1,4,1
3385,5,1,54,547,1,2728,1,4,1,3,1,2,2,4,1
3386,1,1,53,548,1,3016,1,4,1,1,1,2,1,2,1
3387,2,1,53,548,1,3016,1,4,2,4,1,2,1,7,1
3388,3,1,53,548,1,3016,1,4,2,2,1,2,1,4,1
3389,4,1,53,548,1,3016,1,4,1,1,0,2,2,1,1
3390,5,1,53,548,1,3016,1,4,2,3,1,2,1,4,1
3391,1,1,53,549,1,3546,1,4,1,3,1,2,1,1,1
3392,2,1,53,549,3,3546,1,4,4,6,1,2,1,7,1
3393,3,1,53,549,1,3546,1,4,1,3,1,2,2,1,1
3394,4,1,53,549,3,3546,1,4,2,2,1,2,1,3,1
3395,5,1,53,549,1,3546,1,4,3,3,1,2,1,4,1
3396,1,1,53,550,2,3112,1,4,1,2,1,2,2,2,1
3397,2,1,53,550,2,3112,1,4,2,2,1,2,1,6,1
3398,3,1,53,550,1,3112,1,4,1,2,1,2,2,3,1
3399,5,1,53,550,2,3112,1,4,2,3,1,2,2,5,1
3400,1,1,53,551,2,2785,1,4,2,2,0,2,2,6,1
3401,2,1,53,551,1,2785,1,4,1,1,1,2,2,1,1
3402,3,1,53,551,0,2785,1,4,2,3,2,2,1,2,1
3403,4,1,53,551,0,2785,1,4,2,4,1,2,2,1,1
3404,5,1,53,551,0,2785,1,4,1,2,1,2,2,1,1
3405,1,1,54,552,2,2853,1,4,3,5,1,1,1,2,1
3406,2,1,54,552,1,2853,1,4,1,2,1,2,2,1,1
3407,3,1,54,552,2,2853,1,4,1,3,1,1,1,3,1
3408,4,1,54,552,1,2853,1,4,3,5,1,1,1,4,1
3409,5,1,54,552,1,2853,1,4,2,6,2,1,1,4,1
3410,1,1,54,553,2,2961,1,4,3,4,1,2,1,3,1
3411,2,1,54,553,1,2961,1,4,2,3,1,2,1,7,1
3412,3,1,54,553,2,2961,1,4,2,3,2,2,1,4,1
3413,4,1,54,553,1,2961,1,4,2,6,1,1,1,3,1
3414,5,1,54,553,0,2961,1,4,2,4,1,2,1,2,1
3415,2,1,54,554,2,3412,1,4,4,6,2,1,1,4,1
3416,3,1,54,554,1,3412,1,4,1,2,2,1,1,1,1
3417,5,1,54,554,3,3412,1,4,3,4,1,2,2,3,1
3418,1,1,54,555,2,3542,1,4,2,3,1,2,1,4,1
3419,4,1,54,555,2,3542,1,4,2,3,1,2,1,3,1
3420,5,1,54,555,1,3542,1,4,2,2,1,1,1,2,1
3421,1,1,54,556,2,3786,1,4,2,3,1,2,1,2,1
3422,2,1,54,556,5,3786,1,4,3,5,2,2,1,5,1
3423,3,1,54,556,0,3786,1,4,2,5,2,1,1,1,1
3424,4,1,54,556,2,3786,1,4,2,3,1,1,1,2,1
3425,1,1,55,557,2,3620,1,4,5,9,1,1,1,7,1
3426,2,1,55,557,2,3620,1,4,2,4,2,1,1,3,1
3427,3,1,55,557,0,3620,1,4,1,2,1,2,1,2,1
3428,4,1,55,557,0,3620,1,4,2,4,1,1,1,2,1
3429,5,1,55,557,1,3620,1,4,2,3,1,1,1,3,1
3430,1,1,54,558,2,3340,1,4,2,3,2,2,1,3,1
3431,2,1,54,558,1,3340,1,4,4,5,2,2,1,6,1
3432,3,1,54,558,3,3340,1,4,2,5,1,1,1,4,1
3433,4,1,54,558,3,3340,1,4,2,3,1,2,1,3,1
3434,5,1,54,558,2,3340,1,4,3,4,1,2,1,5,1
3435,1,1,54,559,1,3500,1,4,3,4,1,1,1,3,1
3436,2,1,54,559,1,3500,1,4,3,3,1,2,1,5,1
3437,3,1,54,559,0,3500,1,4,4,6,1,2,1,3,1
3438,4,1,54,559,4,3500,1,4,3,8,2,1,1,4,1
3439,5,1,54,559,2,3500,1,4,3,5,2,1,1,4,1
3440,1,1,53,560,0,2963,1,4,1,1,1,1,1,1,1
3441,2,1,53,560,1,2963,1,4,1,2,1,2,2,1,1
3442,3,1,53,560,2,2963,1,4,1,2,1,2,1,3,1
3443,4,1,53,560,4,2963,1,4,5,7,2,2,1,7,1
3444,5,1,53,560,1,2963,1,4,2,3,1,2,2,2,1
3445,1,1,54,561,1,3253,1,4,2,2,1,2,2,2,1
3446,2,1,54,561,0,3253,1,4,2,4,1,2,2,2,1
3447,3,1,54,561,3,3253,1,4,2,2,1,1,1,6,1
3448,4,1,54,561,2,3253,1,4,2,3,1,2,1,4,1
3449,5,1,54,561,1,3253,1,4,2,4,1,2,1,3,1
3450,1,1,53,562,0,2743,1,4,3,4,1,2,1,1,1
3451,2,1,53,562,0,2743,1,4,2,3,1,2,1,3,1
3452,3,1,53,562,0,2743,1,4,3,5,1,1,1,5,1
3453,4,1,53,562,2,2743,1,4,2,3,1,2,2,2,1
3454,5,1,53,562,1,2743,1,4,2,3,1,2,2,3,1
3455,1,1,54,563,1,3459,1,4,3,4,1,2,1,4,1
3456,2,1,54,563,1,3459,1,4,2,4,1,2,1,1,1
3457,3,1,54,563,2,3459,1,4,2,2,1,2,1,3,1
3458,4,1,54,563,4,3459,1,4,2,4,1,2,1,4,1
3459,5,1,54,563,1,3459,1,4,2,3,1,2,2,4,1
3460,2,1,54,564,1,3188,1,4,3,5,2,1,1,2,1
3461,3,1,54,564,1,3188,1,4,1,2,1,2,1,5,1
3462,4,1,54,564,2,3188,1,4,2,5,1,2,1,5,1
3463,5,1,54,564,2,3188,1,4,1,2,1,2,1,2,1
3464,1,1,54,565,1,2293,1,4,2,2,1,1,1,2,1
3465,2,1,54,565,1,2293,1,4,1,4,1,1,1,1,1
3466,4,1,54,565,2,2293,1,4,3,5,1,1,1,4,1
3467,5,1,54,565,2,2293,1,4,2,4,1,2,1,3,1
3468,1,1,53,566,1,2842,1,4,3,3,1,1,1,5,1
3469,2,1,53,566,0,2842,1,4,3,6,1,1,1,3,1
3470,3,1,53,566,0,2842,1,4,2,3,1,2,1,2,1
3471,4,1,53,566,2,2842,1,4,3,5,1,1,1,4,1
3472,1,1,54,567,1,3485,1,4,1,3,1,2,1,1,1
3473,2,1,54,567,1,3485,1,4,4,7,2,1,1,1,1
3474,3,1,54,567,2,3485,1,4,2,4,1,2,1,4,1
3475,4,1,54,567,2,3485,1,4,2,4,1,1,1,2,1
3476,5,1,54,567,4,3485,1,4,3,5,1,2,1,6,1
3477,1,1,54,568,1,3313,1,4,2,4,1,2,1,4,2
3477,1,2,54,568,1,3313,1,4,2,4,1,2,1,4,2
3478,2,1,54,568,2,3313,1,4,1,3,1,1,1,2,1
3479,3,1,54,568,2,3313,1,4,3,7,1,1,1,3,1
3480,4,1,54,568,1,3313,1,4,4,6,1,1,1,3,1
3481,5,1,54,568,0,3313,1,4,3,4,1,1,1,1,1
3482,1,1,53,569,3,2399,1,4,2,4,1,1,1,6,1
3483,2,1,53,569,1,2399,1,4,3,5,1,1,1,4,1
3484,3,1,53,569,2,2399,1,4,4,6,1,1,1,7,1
3485,4,1,53,569,1,2399,1,4,3,6,2,1,1,1,1
3486,5,1,53,569,1,2399,1,4,1,2,1,1,2,3,1
3487,2,1,54,570,0,3899,1,4,2,5,1,1,1,2,1
3488,4,1,54,570,1,3899,1,4,3,7,2,1,1,3,1
3489,1,1,53,571,2,3068,1,4,1,3,1,2,1,6,1
3490,2,1,53,571,3,3068,1,4,4,5,1,2,1,8,1
3491,3,1,53,571,1,3068,1,4,1,2,1,2,2,1,1
3492,4,1,53,571,1,3068,1,4,2,4,1,2,1,1,1
3493,5,1,53,571,0,3068,1,4,1,3,1,2,2,1,1
3494,1,1,55,572,2,2488,1,4,2,3,1,1,1,4,1
3495,2,1,55,572,1,2488,1,4,2,4,1,2,1,3,1
3496,3,1,55,572,2,2488,1,4,2,4,1,2,1,2,1
3497,4,1,55,572,2,2488,1,4,2,4,1,2,1,2,1
3498,5,1,55,572,2,2488,1,4,2,5,1,1,1,2,1
3499,1,1,53,573,1,2746,1,4,3,6,2,1,1,3,1
3500,2,1,53,573,2,2746,1,4,2,5,2,1,1,4,1
3501,3,1,53,573,4,2746,1,4,1,2,0,2,1,7,1
3502,4,1,53,573,2,2746,1,4,2,4,1,1,1,4,1
3503,5,1,53,573,2,2746,1,4,1,1,0,2,1,3,1
3504,1,1,53,574,0,2662,1,4,2,3,1,2,2,1,1
3505,3,1,53,574,2,2662,1,4,3,3,1,1,1,3,1
3506,4,1,53,574,4,2662,1,4,2,3,1,2,1,5,1
3507,5,1,53,574,2,2662,1,4,1,2,0,2,2,4,1
3508,1,1,53,575,2,2623,1,4,1,3,1,1,1,4,1
3509,2,1,53,575,5,2623,1,4,5,12,5,2,1,9,1
3510,3,1,53,575,2,2623,1,4,1,2,0,2,1,3,1
3511,4,1,53,575,2,2623,1,4,4,6,1,1,1,5,1
3512,5,1,53,575,2,2623,1,4,3,5,2,1,1,3,1
3513,1,1,53,576,1,3090,1,4,3,4,1,2,1,4,1
3514,2,1,53,576,2,3090,1,4,2,2,0,2,2,5,1
3515,3,1,53,576,2,3090,1,4,2,3,1,2,1,9,1
3516,4,1,53,576,1,3090,1,4,2,3,1,2,1,4,1
3517,5,1,53,576,1,3090,1,4,1,2,1,1,1,6,1
3518,1,1,54,577,3,3106,1,4,4,7,1,1,2,8,1
3519,3,1,54,577,1,3106,1,4,4,6,2,2,1,6,1
3520,4,1,54,577,1,3106,1,4,3,5,2,1,1,4,1
3521,5,1,54,577,5,3106,1,4,4,10,2,1,1,7,1
3522,1,1,53,578,1,3277,1,4,1,3,1,2,1,1,1
3523,2,1,53,578,2,3277,1,4,3,4,1,2,2,4,1
3524,3,1,53,578,2,3277,1,4,2,6,1,1,1,3,1
3525,4,1,53,578,0,3277,1,4,3,5,1,2,2,2,1
3526,1,1,53,579,1,2191,1,4,1,3,1,2,1,3,1
3527,2,1,53,579,1,2191,1,4,2,3,1,2,1,4,1
3528,3,1,53,579,1,2191,1,4,1,1,1,2,2,3,1
3529,4,1,53,579,2,2191,1,4,1,1,0,2,1,4,1
3530,5,1,53,579,1,2191,1,4,1,1,0,1,2,1,1
3531,1,1,54,580,1,3386,1,4,3,4,0,2,2,5,1
3532,2,1,54,580,2,3386,1,4,3,3,1,2,1,9,1
3533,3,1,54,580,1,3386,1,4,1,1,0,2,2,1,1
3534,4,1,54,580,1,3386,1,4,4,10,3,1,1,6,1
3535,5,1,54,580,2,3386,1,4,2,5,1,2,1,4,1
3536,1,1,53,581,3,2714,1,4,2,3,1,2,2,5,1
3537,2,1,53,581,1,2714,1,4,2,3,1,2,2,1,1
3538,3,1,53,581,2,2714,1,4,3,5,1,1,1,6,1
3539,5,1,53,581,4,2714,1,4,3,4,2,1,1,7,1
3540,1,1,53,582,4,2909,1,4,3,4,1,2,1,4,1
3541,2,1,53,582,1,2909,1,4,2,4,1,1,1,3,1
3542,3,1,53,582,1,2909,1,4,1,2,1,1,1,4,1
3543,4,1,53,582,3,2909,1,4,3,7,2,1,2,3,1
3544,1,1,53,583,1,3084,1,4,3,5,2,1,1,4,1
3545,2,1,53,583,2,3084,1,4,2,3,1,2,1,3,1
3546,3,1,53,583,2,3084,1,4,2,2,1,2,1,5,1
3547,4,1,53,583,1,3084,1,4,1,2,0,2,2,3,1
3548,5,1,53,583,1,3084,1,4,1,1,1,1,2,1,1
3549,1,1,53,584,1,2564,1,4,3,4,1,2,2,4,1
3550,2,1,53,584,1,2564,1,4,2,4,2,1,1,4,1
3551,3,1,53,584,3,2564,1,4,2,3,1,2,1,4,1
3552,4,1,53,584,4,2564,1,4,2,3,1,2,1,11,1
3553,5,1,53,584,3,2564,1,4,2,3,1,2,1,6,1
3554,1,1,53,585,1,2337,1,4,3,7,2,1,1,3,1
3555,3,1,53,585,2,2337,1,4,1,1,1,2,1,2,1
3556,4,1,53,585,1,2337,1,4,3,5,1,1,1,2,1
3557,5,1,53,585,1,2337,1,4,2,2,1,2,1,4,1
3558,1,1,53,586,1,2689,1,4,2,3,1,2,1,5,1
3559,2,1,53,586,1,2689,1,4,2,3,1,1,1,6,1
3560,3,1,53,586,2,2689,1,4,2,2,1,2,2,3,1
3561,4,1,53,586,1,2689,1,4,3,3,2,2,1,5,1
3562,5,1,53,586,3,2689,1,4,3,4,0,2,2,8,1
3563,1,1,54,587,1,4826,1,4,1,2,1,2,1,3,1
3564,2,1,54,587,0,4826,1,4,4,7,2,1,1,4,1
3565,3,1,54,587,1,4826,1,4,2,4,2,1,1,3,1
3566,4,1,54,587,5,4826,1,4,3,4,0,2,1,7,1
3567,5,1,54,587,3,4826,1,4,2,4,1,2,1,4,1
3568,1,1,54,588,1,2584,1,4,2,3,1,2,1,2,1
3569,2,1,54,588,2,2584,1,4,1,2,1,2,1,4,1
3570,3,1,54,588,2,2584,1,4,2,4,1,2,1,4,1
3571,4,1,54,588,1,2584,1,4,2,3,1,2,1,1,1
3572,5,1,54,588,2,2584,1,4,2,4,1,1,1,4,1
3573,1,1,53,589,1,3189,1,4,2,4,1,2,1,3,1
3574,2,1,53,589,1,3189,1,4,2,4,1,2,1,7,1
3575,3,1,53,589,0,3189,1,4,2,4,1,1,1,3,1
3576,4,1,53,589,1,3189,1,4,2,4,1,2,1,5,1
3577,5,1,53,589,2,3189,1,4,2,4,1,2,1,4,1
3578,2,1,54,590,3,3114,1,4,3,5,2,2,1,4,1
3579,3,1,54,590,1,3114,1,4,3,6,3,1,1,4,1
3580,5,1,54,590,1,3114,1,4,2,3,1,2,1,2,1
3581,1,1,54,591,2,3366,1,4,3,4,1,2,1,5,1
3582,2,1,54,591,0,3366,1,4,2,3,1,2,2,1,1
3583,3,1,54,591,1,3366,1,4,2,3,2,2,1,1,1
3584,5,1,54,591,1,3366,1,4,2,4,1,2,1,3,1
3585,1,1,53,592,3,3033,1,4,7,11,5,2,1,9,1
3586,2,1,53,592,2,3033,1,4,4,6,0,1,2,6,1
3587,4,1,53,592,1,3033,1,4,1,2,0,2,1,6,1
3588,5,1,53,592,1,3033,1,4,2,3,0,2,2,5,1
3589,1,1,55,593,2,3208,1,4,2,4,1,1,1,2,1
3590,2,1,55,593,1,3208,1,4,2,4,1,1,1,3,1
3591,3,1,55,593,2,3208,1,4,2,4,1,2,1,6,1
3592,4,1,55,593,2,3208,1,4,2,4,1,2,1,3,1
3593,5,1,55,593,2,3208,1,4,2,4,1,1,1,5,1
3594,1,1,54,594,4,3147,1,4,2,4,1,2,1,6,1
3595,2,1,54,594,2,3147,1,4,3,4,1,2,2,3,1
3596,3,1,54,594,2,3147,1,4,3,3,1,2,1,4,1
3597,4,1,54,594,1,3147,1,4,3,3,1,1,1,5,1
3598,5,1,54,594,1,3147,1,4,3,3,1,2,1,6,1
3599,3,1,53,595,2,2938,1,4,1,2,1,2,2,2,1
3600,5,1,53,595,2,2938,1,4,3,5,1,2,1,5,1
3601,1,1,54,596,1,2663,1,4,1,3,1,2,2,4,1
3602,2,1,54,596,1,2663,1,4,2,5,1,1,1,4,1
3603,3,1,54,596,1,2663,1,4,1,2,1,2,1,1,1
3604,4,1,54,596,1,2663,1,4,2,3,1,1,1,4,1
3605,5,1,54,596,1,2663,1,4,2,5,1,1,2,2,1
3606,1,1,54,597,1,2597,1,4,1,2,1,2,1,2,1
3607,2,1,54,597,3,2597,1,4,4,6,1,2,1,6,1
3608,3,1,54,597,1,2597,1,4,2,2,0,2,2,2,1
3609,4,1,54,597,1,2597,1,4,2,2,0,2,2,4,1
3610,1,1,54,598,3,3058,1,4,2,4,0,2,1,4,1
3611,2,1,54,598,0,3058,1,4,3,5,2,1,1,5,1
3612,3,1,54,598,2,3058,1,4,3,5,1,1,2,4,1
3613,4,1,54,598,2,3058,1,4,1,3,1,2,1,3,1
3614,5,1,54,598,2,3058,1,4,2,4,1,1,1,2,1
3615,1,1,54,599,1,3191,1,4,3,5,1,2,1,3,1
3616,2,1,54,599,5,3191,1,4,3,5,1,1,1,6,1
3617,3,1,54,599,2,3191,1,4,3,5,1,2,1,3,1
3618,4,1,54,599,3,3191,1,4,3,5,1,2,1,3,1
3619,5,1,54,599,4,3191,1,4,3,5,1,2,2,4,1
3620,1,1,55,600,2,3777,1,4,2,6,1,1,1,4,1
3621,2,1,55,600,3,3777,1,4,3,5,1,1,1,4,1
3622,3,1,55,600,1,3777,1,4,2,4,1,1,1,7,2
3622,3,2,55,600,1,3777,1,4,2,4,1,1,1,7,2
3623,4,1,55,600,1,3777,1,4,2,5,1,1,1,3,1
3624,5,1,55,600,3,3777,1,4,3,4,2,1,2,4,1
3625,1,1,55,601,2,3205,1,4,2,3,1,2,2,3,1
3626,4,1,55,601,3,3205,1,4,2,4,1,2,1,4,1
3627,1,1,53,602,2,2895,1,4,2,5,1,2,1,7,1
3628,2,1,53,602,2,2895,1,4,2,4,1,1,2,3,1
3629,3,1,53,602,1,2895,1,4,1,2,1,1,1,3,1
3630,4,1,53,602,1,2895,1,4,2,4,1,1,1,9,1
3631,5,1,53,602,4,2895,1,4,3,5,1,1,1,8,2
3631,5,2,53,602,1,2895,1,4,3,5,1,1,1,8,2
3632,2,1,54,603,0,3503,1,4,1,2,1,2,2,1,1
3633,3,1,54,603,1,3503,1,4,1,1,0,2,2,2,1
3634,4,1,54,603,2,3503,1,4,2,3,1,2,1,3,1
3635,5,1,54,603,1,3503,1,4,3,5,1,2,1,4,1
3636,1,1,53,604,3,3185,1,4,3,4,2,1,1,4,1
3637,2,1,53,604,1,3185,1,4,1,2,0,2,1,2,1
3638,3,1,53,604,1,3185,1,4,1,2,1,1,1,3,1
3639,4,1,53,604,2,3185,1,4,1,1,0,1,1,2,1
3640,5,1,53,604,2,3185,1,4,2,8,2,1,1,5,1
3641,1,1,53,605,2,3084,1,4,2,3,1,1,1,3,1
3642,2,1,53,605,2,3084,1,4,2,7,1,1,1,2,1
3643,3,1,53,605,2,3084,1,4,2,3,1,2,2,4,1
3644,4,1,53,605,4,3084,1,4,3,6,1,1,1,6,1
3645,5,1,53,605,1,3084,1,4,3,4,1,2,1,7,1
3646,1,1,54,606,2,3246,1,4,1,1,1,1,1,5,1
3647,2,1,54,606,2,3246,1,4,2,4,1,2,1,4,1
3648,3,1,54,606,2,3246,1,4,2,5,3,1,1,3,1
3649,4,1,54,606,0,3246,1,4,1,5,3,1,1,1,1
3650,5,1,54,606,2,3246,1,4,2,6,1,1,1,2,1
3651,1,1,54,607,1,2741,1,4,1,4,1,2,2,1,1
3652,3,1,54,607,2,2741,1,4,2,4,1,1,1,3,1
3653,4,1,54,607,2,2741,1,4,3,5,1,1,1,3,1
3654,5,1,54,607,1,2741,1,4,2,4,1,2,1,4,1
3655,1,1,53,608,1,3471,1,4,3,6,2,1,1,3,1
3656,2,1,53,608,2,3471,1,4,1,1,1,1,2,3,1
3657,3,1,53,608,3,3471,1,4,2,3,3,1,1,5,1
3658,4,1,53,608,0,3471,1,4,1,1,1,2,2,2,1
3659,5,1,53,608,1,3471,1,4,2,4,1,2,1,3,1
3660,1,1,53,609,1,2906,1,4,2,3,3,2,1,4,1
3661,2,1,53,609,2,2906,1,4,3,3,1,2,1,4,1
3662,3,1,53,609,0,2906,1,4,1,2,0,2,1,1,1
3663,4,1,53,609,1,2906,1,4,3,4,1,1,1,1,1
3664,5,1,53,609,1,2906,1,4,3,4,1,2,1,3,1
3665,1,1,53,610,2,2749,1,4,2,3,1,2,1,2,1
3666,2,1,53,610,1,2749,1,4,1,6,1,2,1,1,1
3667,3,1,53,610,2,2749,1,4,2,4,1,2,1,3,1
3668,4,1,53,610,3,2749,1,4,4,8,2,1,1,7,1
3669,5,1,53,610,1,2749,1,4,3,5,1,2,1,3,1
3670,1,1,53,611,1,2602,1,4,1,1,0,2,1,1,1
3671,2,1,53,611,1,2602,1,4,1,2,1,2,1,3,1
3672,3,1,53,611,2,2602,1,4,2,7,2,1,1,3,1
3673,4,1,53,611,2,2602,1,4,1,2,0,2,1,4,1
3674,5,1,53,611,2,2602,1,4,3,6,2,1,1,4,1
3675,1,1,54,612,2,3054,1,4,2,4,1,2,2,2,1
3676,2,1,54,612,0,3054,1,4,1,3,1,2,1,3,1
3677,3,1,54,612,0,3054,1,4,1,4,1,2,2,1,1
3678,4,1,54,612,1,3054,1,4,2,4,1,2,2,2,1
3679,5,1,54,612,2,3054,1,4,2,4,1,2,1,4,1
3680,1,1,54,613,1,2439,1,4,4,6,4,1,1,6,1
3681,2,1,54,613,4,2439,1,4,2,4,1,2,1,8,1
3682,3,1,54,613,2,2439,1,4,1,1,0,2,1,5,1
3683,4,1,54,613,1,2439,1,4,2,5,2,1,1,3,1
3684,1,1,53,614,2,2654,1,4,2,3,1,1,1,5,1
3685,2,1,53,614,1,2654,1,4,1,1,0,1,1,2,1
3686,3,1,53,614,1,2654,1,4,1,1,1,2,2,2,1
3687,4,1,53,614,2,2654,1,4,1,3,0,2,1,3,1
3688,5,1,53,614,3,2654,1,4,1,1,0,2,2,6,1
3689,1,1,54,615,2,3165,1,4,2,5,2,1,1,3,1
3690,2,1,54,615,1,3165,1,4,1,3,1,2,2,1,1
3691,4,1,54,615,3,3165,1,4,2,2,1,2,1,5,1
3692,5,1,54,615,1,3165,1,4,1,2,1,2,1,1,1
3693,1,1,53,616,2,3214,1,4,3,5,0,2,2,6,1
3694,2,1,53,616,2,3214,1,4,3,6,1,1,1,3,1
3695,3,1,53,616,2,3214,1,4,6,9,2,1,1,6,2
3695,3,2,53,616,2,3214,1,4,6,9,2,1,1,6,2
3696,4,1,53,616,2,3214,1,4,5,6,0,2,1,5,1
3697,5,1,53,616,2,3214,1,4,1,1,0,1,2,6,1
